Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
95,tt0070917,2011-03-16,2012-02-10,9/10,The Wicker Man,https://www.imdb.com/title/tt0070917/,movie,7.6,88,1973,"Horror, Mystery, Thriller",58534,1973-12-06,Robin Hardy
96,tt0058331,2011-03-16,2012-02-10,9/10,Mary Poppins,https://www.imdb.com/title/tt0058331/,movie,7.8,139,1964,"Comedy, Family, Fantasy, Musical",141723,1964-08-27,Robert Stevenson
97,tt0417741,2011-03-16,2012-02-10,9/10,Harry Potter and the Half-Blood Prince,https://www.imdb.com/title/tt0417741/,movie,7.6,153,2009,"Adventure, Family, Fantasy, Mystery",416003,2009-07-06,David Yates
98,tt0422720,2011-03-16,2011-03-16,,Marie Antoinette,https://www.imdb.com/title/tt0422720/,movie,6.4,123,2006,"Biography, Drama, History, Romance",92647,2006-05-24,Sofia Coppola
99,tt0056687,2011-03-16,2012-02-10,8 or 9/10,What Ever Happened to Baby Jane?,https://www.imdb.com/title/tt0056687/,movie,8.1,134,1962,"Drama, Horror, Thriller",44915,1962-10-31,Robert Aldrich
100,tt1075417,2011-03-16,2012-02-10,8 or 9/10,Race to Witch Mountain,https://www.imdb.com/title/tt1075417/,movie,5.7,98,2009,"Action, Adventure, Family, Fantasy, Sci-Fi, Thriller",50896,2009-03-11,Andy Fickman
101,tt0114654,2011-03-16,2012-02-10,8 or 9/10,Terror in the Shadows,https://www.imdb.com/title/tt0114654/,tvMovie,5.2,87,1995,"Drama, Thriller",159,1995-10-16,William A. Graham
102,tt0048424,2011-03-16,2012-02-10,8 or 9/10,The Night of the Hunter,https://www.imdb.com/title/tt0048424/,movie,8.0,92,1955,"Crime, Drama, Film-Noir, Thriller",74915,1955-07-26,Charles Laughton
103,tt0337634,2011-03-16,2012-02-10,8 or 9/10,He Sees You When You're Sleeping,https://www.imdb.com/title/tt0337634/,tvMovie,5.7,100,2002,"Comedy, Crime, Drama, Fantasy, Mystery",249,2002-12-22,David Winning
104,tt0497353,2011-03-16,2012-02-10,8 or 9/10,Fatal Desire,https://www.imdb.com/title/tt0497353/,tvMovie,6.2,113,2006,"Crime, Drama, Mystery, Thriller",582,2006-04-03,Ralph Hemecker
105,tt0448075,2011-03-16,2012-02-10,8 or 9/10,The Night Listener,https://www.imdb.com/title/tt0448075/,movie,5.9,91,2006,"Crime, Mystery, Thriller",14042,2006-01-21,Patrick Stettner
106,tt0199950,2011-03-16,2012-02-10,8 or 9/10,The New Adventures of Pinocchio,https://www.imdb.com/title/tt0199950/,movie,5.4,94,1999,"Adventure, Family, Fantasy",612,1999-11-15,Michael Anderson
107,tt0926084,2011-03-16,2012-02-10,8 or 9/10,Harry Potter and the Deathly Hallows: Part 1,https://www.imdb.com/title/tt0926084/,movie,7.7,146,2010,"Adventure, Fantasy, Mystery",422481,2010-11-11,David Yates
108,tt0385752,2011-03-16,2012-02-10,8 or 9/10,The Golden Compass,https://www.imdb.com/title/tt0385752/,movie,6.1,113,2007,"Adventure, Family, Fantasy",167069,2007-11-27,Chris Weitz
109,tt0096061,2011-03-16,2012-02-10,8 or 9/10,Scrooged,https://www.imdb.com/title/tt0096061/,movie,7.0,101,1988,"Comedy, Drama, Fantasy, Romance",77230,1988-11-17,Richard Donner
110,tt0100361,2011-03-16,2012-02-10,8/10,The Phantom of the Opera,https://www.imdb.com/title/tt0100361/,tvMiniSeries,7.5,168,1990,"Drama, Music, Mystery, Romance, Thriller",1382,1990-02-09,
111,tt0290334,2011-03-16,2012-02-10,8/10,X2,https://www.imdb.com/title/tt0290334/,movie,7.5,134,2003,"Action, Adventure, Sci-Fi, Thriller",478086,2003-04-24,Bryan Singer
112,tt1067106,2011-03-16,2012-02-10,8/10,A Christmas Carol,https://www.imdb.com/title/tt1067106/,movie,6.8,96,2009,"Animation, Drama, Family, Fantasy",91512,2009-11-03,Robert Zemeckis
113,tt0429573,2011-03-16,2012-02-10,8/10,An American Haunting,https://www.imdb.com/title/tt0429573/,movie,5.1,83,2005,"Drama, History, Horror, Mystery, Thriller",23725,2005-11-05,Courtney Solomon
114,tt0085750,2011-03-16,2012-02-10,8/10,Jaws 3-D,https://www.imdb.com/title/tt0085750/,movie,3.6,99,1983,"Adventure, Horror, Thriller",35162,1983-07-22,Joe Alves
115,tt0280030,2011-03-16,2012-02-10,8/10,Return to Never Land,https://www.imdb.com/title/tt0280030/,movie,5.8,72,2002,"Animation, Adventure, Family, Fantasy",16427,2002-01-01,"Robin Budd, Donovan Cook"
116,tt0118971,2011-03-16,2012-02-10,8/10,The Devil's Advocate,https://www.imdb.com/title/tt0118971/,movie,7.5,144,1997,"Drama, Mystery, Thriller",300611,1997-10-13,Taylor Hackford
117,tt0293508,2011-03-16,2012-02-10,8/10,The Phantom of the Opera,https://www.imdb.com/title/tt0293508/,movie,7.3,143,2004,"Drama, Musical, Romance, Thriller",109356,2004-12-09,Joel Schumacher
118,tt0304141,2011-03-16,2012-02-10,8/10,Harry Potter and the Prisoner of Azkaban,https://www.imdb.com/title/tt0304141/,movie,7.9,142,2004,"Adventure, Family, Fantasy, Mystery",487018,2004-05-23,Alfonso Cuarón
119,tt0295297,2011-03-16,2012-02-10,8/10,Harry Potter and the Chamber of Secrets,https://www.imdb.com/title/tt0295297/,movie,7.4,161,2002,"Adventure, Family, Fantasy, Mystery",490526,2002-11-03,Chris Columbus
120,tt0096869,2011-03-16,2012-02-10,8/10,Babar: The Movie,https://www.imdb.com/title/tt0096869/,movie,6.4,70,1989,"Animation, Adventure, Family, Fantasy, Musical",804,1989-07-28,Alan Bunce
121,tt0126029,2011-03-16,2012-02-10,8/10,Shrek,https://www.imdb.com/title/tt0126029/,movie,7.9,90,2001,"Animation, Adventure, Comedy, Family, Fantasy",559365,2001-04-22,"Vicky Jenson, Andrew Adamson"
122,tt0119345,2011-03-16,2012-02-10,8/10,I Know What You Did Last Summer,https://www.imdb.com/title/tt0119345/,movie,5.7,101,1997,"Horror, Mystery",123042,1997-10-17,Jim Gillespie
123,tt0469111,2011-03-16,2012-02-10,8/10,I'll Always Know What You Did Last Summer,https://www.imdb.com/title/tt0469111/,video,3.6,92,2006,"Horror, Mystery, Thriller",9260,2006-06-21,Sylvain White
124,tt0096425,2011-03-16,2012-02-10,8/10,Watchers,https://www.imdb.com/title/tt0096425/,movie,5.4,91,1988,"Action, Horror, Sci-Fi, Thriller",3673,1988-12-02,Jon Hess
125,tt0112715,2011-03-16,2012-02-10,8/10,Congo,https://www.imdb.com/title/tt0112715/,movie,5.1,109,1995,"Action, Adventure, Mystery, Sci-Fi",39131,1995-06-09,Frank Marshall
126,tt0097351,2011-03-16,2012-02-10,8/10,Field of Dreams,https://www.imdb.com/title/tt0097351/,movie,7.5,107,1989,"Drama, Family, Fantasy, Sport",99561,1989-04-21,Phil Alden Robinson
127,tt0170016,2011-03-16,2012-02-10,8/10,How the Grinch Stole Christmas,https://www.imdb.com/title/tt0170016/,movie,6.1,104,2000,"Comedy, Family, Fantasy",182860,2000-11-08,Ron Howard
128,tt0243585,2011-03-16,2012-02-10,8/10,Stuart Little 2,https://www.imdb.com/title/tt0243585/,movie,5.5,77,2002,"Animation, Adventure, Comedy, Family, Fantasy",45291,2002-07-14,Rob Minkoff
129,tt0094500,2011-03-16,2012-02-10,8/10,"The Lion, the Witch, & the Wardrobe",https://www.imdb.com/title/tt0094500/,tvMiniSeries,7.3,171,1988,"Adventure, Drama, Family, Fantasy",5201,1988-11-13,
130,tt0108526,2011-03-16,2012-02-10,8/10,We're Back! A Dinosaur's Story,https://www.imdb.com/title/tt0108526/,movie,6.1,72,1993,"Animation, Adventure, Comedy, Family, Fantasy, Musical",12389,1993-11-24,"Dick Zondag, Phil Nibbelink, Ralph Zondag, Simon Wells"
131,tt0479968,2011-03-16,2012-02-10,8/10,One Missed Call,https://www.imdb.com/title/tt0479968/,movie,4.0,87,2008,"Horror, Mystery",29487,2008-01-04,Eric Valette
132,tt0439578,2011-03-16,2012-02-10,8/10,A Friend of the Family,https://www.imdb.com/title/tt0439578/,tvMovie,6.3,88,2005,"Drama, Mystery, Thriller",225,2005-02-28,Stuart Gillard
133,tt0105414,2011-03-16,2012-02-10,8/10,Single White Female,https://www.imdb.com/title/tt0105414/,movie,6.3,107,1992,"Drama, Thriller",28689,1992-08-14,Barbet Schroeder
134,tt0120302,2011-03-16,2012-02-10,8/10,Tell Me No Secrets,https://www.imdb.com/title/tt0120302/,tvMovie,6.4,100,1997,"Drama, Thriller",135,1997-01-20,Bobby Roth
135,tt0116265,2011-03-16,2012-02-10,8/10,A Face to Die For,https://www.imdb.com/title/tt0116265/,tvMovie,5.9,90,1996,Drama,480,1996-03-11,Jack Bender
136,tt0117110,2011-03-16,2012-02-10,8/10,Muppet Treasure Island,https://www.imdb.com/title/tt0117110/,movie,7.0,99,1996,"Action, Adventure, Comedy, Family, Musical, Romance",19047,1996-02-16,"David Lane, Brian Henson"
137,tt0255873,2011-03-16,2012-02-10,8/10,Peter Pan,https://www.imdb.com/title/tt0255873/,tvSpecial,7.3,105,2000,"Family, Fantasy, Musical",498,2000-10-10,"Glenn Casale, Gary Halvorson"
138,tt0114964,2011-03-16,2012-02-10,8/10,The Wizard of Oz in Concert: Dreams Come True,https://www.imdb.com/title/tt0114964/,tvMovie,7.5,95,1995,"Documentary, Comedy, Family, Fantasy, Music",147,1995-11-22,"Darrell Larson, Louis J. Horvitz"
139,tt0247638,2011-03-16,2012-02-10,8/10,The Princess Diaries,https://www.imdb.com/title/tt0247638/,movie,6.3,111,2001,"Comedy, Family, Romance",115825,2001-07-29,Garry Marshall
140,tt0100477,2011-03-16,2012-02-10,8/10,The Rescuers Down Under,https://www.imdb.com/title/tt0100477/,movie,6.9,77,1990,"Animation, Adventure, Crime, Drama, Family, Fantasy, Mystery",33780,1990-11-16,"Mike Gabriel, Hendel Butoy"
141,tt0332280,2011-03-16,2012-02-10,8/10,The Notebook,https://www.imdb.com/title/tt0332280/,movie,7.9,123,2004,"Drama, Romance",472518,2004-05-20,Nick Cassavetes
142,tt0109446,2011-03-16,2012-02-10,8/10,The Client,https://www.imdb.com/title/tt0109446/,movie,6.7,119,1994,"Crime, Drama, Mystery",54313,1994-07-20,Joel Schumacher
143,tt0115097,2011-03-16,2012-02-10,8/10,Andersonville,https://www.imdb.com/title/tt0115097/,tvMovie,7.5,167,1996,"Drama, History, War",1679,1996-03-03,John Frankenheimer
144,tt0120749,2011-03-16,2012-02-10,8/10,Mercury Rising,https://www.imdb.com/title/tt0120749/,movie,6.1,111,1998,"Action, Crime, Drama, Thriller",62582,1998-04-01,Harold Becker
145,tt0452611,2011-03-16,2012-02-10,8/10,The Dive from Clausen's Pier,https://www.imdb.com/title/tt0452611/,tvMovie,5.6,86,2005,"Drama, Romance",706,2005-07-25,Harry Winer
146,tt0081505,2011-03-16,2012-02-10,8/10,The Shining,https://www.imdb.com/title/tt0081505/,movie,8.4,146,1980,"Drama, Horror",775754,1980-05-23,Stanley Kubrick
147,tt0118945,2011-03-16,2012-02-10,8/10,A Deadly Vision,https://www.imdb.com/title/tt0118945/,tvMovie,5.4,96,1997,"Drama, Mystery, Thriller",198,1997-04-21,Bill Norton
148,tt0316654,2011-03-16,2012-02-10,8/10,Spider-Man 2,https://www.imdb.com/title/tt0316654/,movie,7.3,127,2004,"Action, Adventure, Sci-Fi",496907,2004-06-25,Sam Raimi
149,tt0274584,2011-03-16,2012-02-10,8/10,The Jennie Project,https://www.imdb.com/title/tt0274584/,tvMovie,5.1,76,2001,"Adventure, Drama, Family",214,2001-07-13,Gary Nadeau
150,tt0244870,2011-03-16,2012-02-10,8/10,Uzumaki,https://www.imdb.com/title/tt0244870/,movie,6.2,90,2000,"Drama, Fantasy, Horror",6700,2000-02-11,Higuchinsky
151,tt0054215,2011-03-16,2012-02-10,8/10,Psycho,https://www.imdb.com/title/tt0054215/,movie,8.5,109,1960,"Horror, Mystery, Thriller",534139,1960-06-16,Alfred Hitchcock
152,tt0155975,2011-03-16,2012-02-10,8/10,Psycho,https://www.imdb.com/title/tt0155975/,movie,4.6,105,1998,"Horror, Mystery, Thriller",42788,1998-12-04,Gus Van Sant
153,tt0494238,2011-03-16,2012-02-10,8/10,Inkheart,https://www.imdb.com/title/tt0494238/,movie,6.1,106,2008,"Adventure, Family, Fantasy",68722,2008-12-11,Iain Softley
154,tt0299658,2011-03-16,2012-02-10,8/10,Chicago,https://www.imdb.com/title/tt0299658/,movie,7.2,113,2002,"Comedy, Crime, Musical",200289,2002-12-10,Rob Marshall
155,tt0055824,2011-03-16,2012-02-10,8/10,Cape Fear,https://www.imdb.com/title/tt0055824/,movie,7.8,106,1962,"Drama, Thriller",23774,1962-04-12,J. Lee Thompson
156,tt0101540,2011-03-16,2012-02-10,8/10,Cape Fear,https://www.imdb.com/title/tt0101540/,movie,7.3,128,1991,"Crime, Thriller",153100,1991-10-06,Martin Scorsese
157,tt0128137,2011-03-16,2012-02-10,8/10,The Confession,https://www.imdb.com/title/tt0128137/,movie,6.0,114,1999,"Drama, Thriller",2216,1999-01-22,David Hugh Jones
158,tt0036261,2011-03-16,2012-02-10,7 or 8/10,Phantom of the Opera,https://www.imdb.com/title/tt0036261/,movie,6.5,92,1943,"Drama, Horror, Music, Romance, Thriller",5670,1943-08-12,Arthur Lubin
159,tt0368933,2011-03-16,2012-02-10,7 or 8/10,The Princess Diaries 2: Royal Engagement,https://www.imdb.com/title/tt0368933/,movie,5.8,113,2004,"Comedy, Family, Romance",67320,2004-08-07,Garry Marshall
160,tt0451079,2011-03-16,2012-02-10,7 or 8/10,Horton Hears a Who!,https://www.imdb.com/title/tt0451079/,movie,6.8,86,2008,"Animation, Adventure, Comedy, Family, Fantasy",120837,2008-03-03,"Jimmy Hayward, Steve Martino"
161,tt0107247,2011-03-16,2012-02-10,7 or 8/10,Jack the Bear,https://www.imdb.com/title/tt0107247/,movie,6.5,99,1993,Drama,3666,1993-04-02,Marshall Herskovitz
162,tt0016220,2011-03-16,2012-02-10,7 or 8/10,The Phantom of the Opera,https://www.imdb.com/title/tt0016220/,movie,7.7,93,1925,Horror,14941,1925-04-26,"Rupert Julian, Ernst Laemmle, Lon Chaney, Edward Sedgwick"
163,tt0081573,2011-03-16,2012-02-10,7 or 8/10,Superman II,https://www.imdb.com/title/tt0081573/,movie,6.8,127,1980,"Action, Adventure, Sci-Fi",90431,1980-12-04,"Richard Donner, Richard Lester"
164,tt0434409,2011-03-16,2012-02-10,7 or 8/10,V for Vendetta,https://www.imdb.com/title/tt0434409/,movie,8.2,132,2005,"Action, Drama, Sci-Fi, Thriller",948050,2005-12-11,James McTeigue
165,tt0084100,2011-03-16,2012-02-10,7 or 8/10,The Hunchback of Notre Dame,https://www.imdb.com/title/tt0084100/,tvMovie,6.5,150,1982,"Drama, Horror, Romance",978,1982-02-04,"Michael Tuchner, Alan Hume"
166,tt1014759,2011-03-16,2012-02-10,7 or 8/10,Alice in Wonderland,https://www.imdb.com/title/tt1014759/,movie,6.5,108,2010,"Adventure, Family, Fantasy",357272,2010-02-25,Tim Burton
167,tt0113670,2011-03-16,2012-02-10,7 or 8/10,A Little Princess,https://www.imdb.com/title/tt0113670/,movie,7.7,97,1995,"Drama, Family, Fantasy",29481,1995-05-10,Alfonso Cuarón
168,tt0082449,2011-03-16,2012-02-10,7 or 8/10,Ghost Story,https://www.imdb.com/title/tt0082449/,movie,6.3,110,1981,"Drama, Horror, Thriller",6794,1981-12-15,John Irvin
169,tt0112641,2011-03-16,2012-02-10,7 or 8/10,Casino,https://www.imdb.com/title/tt0112641/,movie,8.2,178,1995,"Crime, Drama",411968,1995-04-03,Martin Scorsese
170,tt0116270,2011-03-16,2012-02-10,7 or 8/10,Fall Into Darkness,https://www.imdb.com/title/tt0116270/,tvMovie,5.9,88,1996,Thriller,449,1996-11-25,Mark Sobel
171,tt0463029,2011-03-16,2012-02-10,7 or 8/10,Haunting Sarah,https://www.imdb.com/title/tt0463029/,tvMovie,5.9,89,2005,"Drama, Mystery, Thriller",481,2005-10-03,Ralph Hemecker
172,tt0420238,2011-03-16,2012-02-10,7 or 8/10,The Tale of Despereaux,https://www.imdb.com/title/tt0420238/,movie,6.1,93,2008,"Animation, Adventure, Comedy, Family, Fantasy",34022,2008-12-17,"Robert Stevenhagen, Sam Fell"
173,tt0123179,2011-03-16,2012-02-10,7 or 8/10,Mister Magoo's Christmas Carol,https://www.imdb.com/title/tt0123179/,tvMovie,7.8,53,1962,"Animation, Comedy, Drama, Family, Fantasy, Musical",2260,1962-12-18,Abe Levitow
174,tt0100240,2011-03-16,2011-03-16,,The NeverEnding Story II: The Next Chapter,https://www.imdb.com/title/tt0100240/,movie,5.1,90,1990,"Adventure, Drama, Family, Fantasy",21865,1990-10-25,George Miller
175,tt0118410,2011-03-16,2012-02-10,7/10,Night Sins,https://www.imdb.com/title/tt0118410/,tvMovie,6.8,240,1997,"Drama, Thriller",221,1997-02-23,Robert Allan Ackerman
176,tt0119461,2011-03-16,2012-02-10,7/10,Killing Mr. Griffin,https://www.imdb.com/title/tt0119461/,tvMovie,5.7,89,1997,"Thriller, Drama",918,1997-04-07,Jack Bender
177,tt0381061,2011-03-16,2012-02-10,7/10,Casino Royale,https://www.imdb.com/title/tt0381061/,movie,8.0,144,2006,"Action, Adventure, Thriller",537615,2006-11-14,Martin Campbell
178,tt1099212,2011-03-16,2012-02-10,6 or 7/10,Twilight,https://www.imdb.com/title/tt1099212/,movie,5.2,122,2008,"Drama, Fantasy, Romance",392798,2008-11-17,Catherine Hardwicke
179,tt0070608,2011-03-16,2012-02-10,6 or 7/10,Robin Hood,https://www.imdb.com/title/tt0070608/,movie,7.6,83,1973,"Animation, Adventure, Comedy, Family, Romance",103132,1973-11-08,Wolfgang Reitherman
180,tt0077889,2011-03-16,2012-02-10,6 or 7/10,Magic,https://www.imdb.com/title/tt0077889/,movie,6.8,107,1978,"Drama, Horror",7987,1978-11-08,Richard Attenborough
181,tt0046183,2011-03-16,2012-02-10,6 or 7/10,Peter Pan,https://www.imdb.com/title/tt0046183/,movie,7.3,77,1953,"Animation, Adventure, Family, Fantasy, Musical",111646,1953-02-05,"Clyde Geronimi, Jack Kinney, Wilfred Jackson, Hamilton Luske"
182,tt0043274,2011-03-16,2012-02-10,6 or 7/10,Alice in Wonderland,https://www.imdb.com/title/tt0043274/,movie,7.4,75,1951,"Animation, Adventure, Family, Fantasy, Musical",115799,1951-07-26,"Hamilton Luske, Clyde Geronimi, Wilfred Jackson"
183,tt0145600,2011-03-16,2012-02-10,6 or 7/10,Brave New World,https://www.imdb.com/title/tt0145600/,tvMovie,5.3,87,1998,"Drama, Sci-Fi",1770,1998-04-19,"Leslie Libman, Larry Williams"
184,tt0294611,2011-03-16,2012-02-10,6 or 7/10,Hans Christian Andersen: My Life as a Fairy Tale,https://www.imdb.com/title/tt0294611/,tvMovie,7.1,174,2003,"Adventure, Drama, Family, Fantasy",475,2003-12-31,Philip Saville
185,tt0120744,2011-03-16,2012-02-10,6/10,The Man in the Iron Mask,https://www.imdb.com/title/tt0120744/,movie,6.5,132,1998,"Action, Adventure, Drama",145664,1998-03-02,Randall Wallace
186,tt0100260,2011-03-16,2012-02-10,6/10,Nightbreed,https://www.imdb.com/title/tt0100260/,movie,6.6,102,1990,"Action, Fantasy, Horror",17457,1990-02-16,Clive Barker
